datetime,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
2013-01-01 00:00:00,348967.37792,138104.82108,88559.05007,71405.817,24828.52759,14738.50426,0.0
2012-12-01 00:00:00,334635.08861,134078.90757,83989.0974,68583.66900000001,22983.70724,14524.46699,0.0
2012-11-01 00:00:00,305975.03503,128727.0657,80169.46107,56712.757000000005,18732.35193,11648.590409999999,0.0
2012-10-01 00:00:00,311650.77427,120999.33875999998,91725.37056,59743.218,16500.609809999998,12635.641309999999,0.0
2012-09-01 00:00:00,334584.8774,125588.60805,108012.30069,64510.882000000005,17603.73043,8789.66603,0.0
2012-08-01 00:00:00,395699.56638000003,152181.05516,131735.86442,69602.11099999999,23034.01471,8468.9119,0.0
2012-07-01 00:00:00,414639.67076,160450.26253,138862.84998,69129.329,26491.28039,8821.54153,0.0
2012-06-01 00:00:00,360826.1512,131261.03605,115597.50323,65140.085,26658.7511,11972.30369,0.0
2012-05-01 00:00:00,336517.6308,115982.64658,107351.81228,62081.445,28642.515160000003,12540.522570000001,0.0
2012-04-01 00:00:00,295228.21626,96285.44067000001,94828.59637,55870.931,26294.12395,12709.239109999999,0.0
2012-03-01 00:00:00,309090.56891,105525.54677999999,92250.65327000001,61728.613,25908.53671,14026.44209,0.0
2012-02-01 00:00:00,309389.42017,113872.04689000001,90609.78233999999,63847.023,20283.421280000002,11051.98192,0.0
2012-01-01 00:00:00,339528.25935999997,129090.98980999998,90760.88377999999,72381.186,23107.180669999998,13632.39531,0.0
2011-12-01 00:00:00,335740.46275999997,132928.71614,86121.62582,71837.372,23731.94371,10655.77473,0.0
2011-11-01 00:00:00,304102.15444,121462.71077,75441.29818,64473.88,20680.527430000002,12438.55312,0.0
2011-10-01 00:00:00,308698.50358,126626.97282000001,78819.20708,63336.97,19787.38961,10525.42896,0.0
2011-09-01 00:00:00,337931.3176,140941.1491,91739.07009,66848.854,21377.59172,6869.0293,0.0
2011-08-01 00:00:00,406511.31471,171280.53388,119855.79257,71338.56599999999,25763.57824,7473.5940200000005,0.0
2011-07-01 00:00:00,418692.75464,176585.81965,119623.59113,72344.85,31284.634560000002,7488.62905,0.0
2011-06-01 00:00:00,367727.015,158055.21258,90691.11156,65270.134000000005,32151.214330000003,10985.06912,0.0
2011-05-01 00:00:00,323628.23805,137101.56497,75242.79679,57012.914000000004,32586.926089999997,11772.16075,0.0
2011-04-01 00:00:00,302400.72444,124488.2575,70028.99891000001,54547.337999999996,31194.3065,12421.65683,0.0
2011-03-01 00:00:00,318709.9409,134845.23137999998,65947.12043,65661.598,31134.47075,10544.64605,0.0
2011-02-01 00:00:00,313126.60705,138311.15722999998,65923.98289,64789.078,24131.22605,10451.5619,0.0
2011-01-01 00:00:00,362871.89295,170802.67930999998,74254.33381,72742.813,25531.09446,8550.4948,0.0
2010-12-01 00:00:00,362119.08129,167258.08615999998,77573.32016,73683.304,23169.07145,9059.297359999999,0.0
2010-11-01 00:00:00,306009.62912,135185.04538,69226.55984,62655.206,19561.550030000002,9747.6191,0.0
2010-10-01 00:00:00,307920.69056,132269.83505999998,77738.33651000001,62750.833,17682.97635,7943.80761,0.0
2010-09-01 00:00:00,346045.17182,148745.67169000002,93004.17649,69371.195,17265.206459999998,7105.5022,0.0
2010-08-01 00:00:00,408884.15537,177745.32008,121151.26856,71574.103,20119.232180000003,6685.85505,0.0
2010-07-01 00:00:00,409725.44035,179600.4991,114624.20192,71913.468,24516.76133,6723.89118,0.0
2010-06-01 00:00:00,375759.47838000004,165491.48889,92268.43062999999,68301.32156,29853.826930000003,8049.02142,0.0
2010-05-01 00:00:00,327936.49155,143272.49362,73665.43824,66658.365,25079.216969999998,8697.524870000001,0.0
2010-04-01 00:00:00,287800.22656,126951.88534000001,64644.025,57611.073,19096.66257,9764.455979999999,0.0
2010-03-01 00:00:00,312167.64032,144405.63319000002,63430.66033,64634.721,20885.6628,8589.07682,0.0
2010-02-01 00:00:00,319734.72667,153044.15909,66198.08,65245.37,20589.82989,5431.85793,0.0
2010-01-01 00:00:00,360957.16695,173320.16090999998,74172.73601000001,72569.341,22383.07243,6854.33658,0.0
2009-12-01 00:00:00,350507.29527,166434.03556,71589.60705,70710.218,24729.80834,6906.05833,0.0
2009-11-01 00:00:00,296634.66995999997,136809.57520999998,63285.13196,59069.208,21007.70089,6875.18302,0.0
2009-10-01 00:00:00,307040.34065,139955.57738,72602.72548,58020.927,19691.06826,6813.62592,0.0
2009-09-01 00:00:00,327400.61189,137144.64798,92126.61783999999,65751.79400000001,17358.71392,4650.70788,0.0
2009-08-01 00:00:00,381221.41693,163260.48308,109239.55406,72244.59700000001,19580.41655,5464.473620000001,0.0
2009-07-01 00:00:00,372542.22554,158233.86912000002,101893.83251000001,72948.979,23384.74817,4954.94132,0.0
2009-06-01 00:00:00,347658.24126,148086.77111,84205.18153999999,69734.73599999999,29233.39456,5599.42191,0.0
2009-05-01 00:00:00,311305.87215,131673.05752,68145.64662,65395.452000000005,29559.65512,6261.9611,0.0
2009-04-01 00:00:00,289537.25513,125934.97312000001,61158.67362,59408.407,25769.8074,7457.69602,0.0
2009-03-01 00:00:00,310602.96381,135530.3278,68202.74331,67240.567,21827.453530000003,7099.06292,0.0
2009-02-01 00:00:00,300887.39769,140915.78475999998,62138.85332,64227.210999999996,17812.03175,5852.17501,0.0
2009-01-01 00:00:00,354992.63620999997,171925.15034000002,66390.11321,74102.489,23490.29569,5950.82465,0.0
2008-12-01 00:00:00,343898.25447,167785.73046,64363.646029999996,72931.328,20861.49062,6615.89854,0.0
2008-11-01 00:00:00,310046.2412,154281.19798,61454.198520000005,63408.145,15667.934009999999,4993.64564,0.0
2008-10-01 00:00:00,318547.34311,151840.71519000002,73283.33855,62820.352999999996,15469.94246,4756.4009399999995,0.0
2008-09-01 00:00:00,338056.12999,161356.34732,79136.02997999999,67053.867,16178.192319999998,3111.4518199999998,0.0
2008-08-01 00:00:00,388986.71877,180576.49295,99673.49347999999,72617.06599999999,21229.2774,3264.40615,0.0
2008-07-01 00:00:00,402900.33624000003,186733.45633,100320.87805,74318.27,25555.08636,4008.4005899999997,0.0
2008-06-01 00:00:00,373109.02691,171043.27903,84619.97662999999,70319.366,29177.42712,5140.3764,0.0
2008-05-01 00:00:00,325244.80192,154915.90135,62270.447120000004,64825.901,27221.147419999998,5340.28392,0.0
2008-04-01 00:00:00,305865.03122,146983.02391,63046.09796,57332.71599999999,22233.93205,5225.282029999999,0.0
2008-03-01 00:00:00,324629.84959,160743.24304,62170.57985,64716.468,21668.938469999997,4782.01995,0.0
2008-02-01 00:00:00,325105.5971,166666.35479,60042.0118,65130.385,18788.8861,3851.7487,0.0
2008-01-01 00:00:00,362998.42904,182875.5043,72599.9011,70734.57,20779.13078,4273.1854,0.0
2007-12-01 00:00:00,346290.33051999996,173829.86552999998,66807.82797,71982.726,18341.67452,3490.23188,0.0
2007-11-01 00:00:00,314102.5426,159382.45455,60636.79925,64899.278,15682.053,3095.03643,0.0
2007-10-01 00:00:00,332615.41638,162234.35613,78358.02381,61689.542,14796.43375,3376.5402799999997,0.0
2007-09-01 00:00:00,355393.91186,169391.27283,88531.61471000001,67578.578,14742.53418,2866.72155,0.0
2007-08-01 00:00:00,421796.65927,190134.81633,121338.42663,72750.91,19940.551040000002,2699.36469,0.0
2007-07-01 00:00:00,393226.43225,185053.78761,97482.67572,72738.535,22477.76053,2158.3724399999996,0.0
2007-06-01 00:00:00,362754.87721999997,173512.88404,81511.45079,68923.07400000001,22816.608119999997,2620.41645,0.0
2007-05-01 00:00:00,330202.75802,157513.28115999998,66469.7005,65024.555,26046.976430000002,2952.34063,0.0
2007-04-01 00:00:00,303129.0636,146249.54121,60152.847579999994,57301.424000000006,23890.58301,3171.70315,0.0
2007-03-01 00:00:00,320471.24253000005,159811.07387999998,56203.82094,64305.153,24163.45595,3047.09243,0.0
2007-02-01 00:00:00,323230.39483,163602.81256,57622.07125,65224.794,18566.63325,2519.79285,0.0
2007-01-01 00:00:00,353531.09476999997,175739.4377,61474.53193,74006.18400000001,26044.71053,2452.31464,0.0
